Age,Experience,Projects,HoursPerWeek,EducationYears,Department,EducationLevel,City,Salary
23.0,0.0,8.10103138397033,77.87834228156854,18.0,1,1,0,57207.0
28.0,6.0,40.0,46.0,18.0,2,1,2,73228.0
54.0,30.0,7.830169530678877,43.0,18.0,1,3,1,128965.0
34.70870578045314,8.709996282403507,23.111958942829776,62.751434850775176,21.0,1,2,3,73822.0
49.202727927740185,28.0,33.0,82.92033587450052,16.0,3,2,3,137162.0
57.0,32.0,41.0,37.0,15.0,1,1,0,148375.0
33.0,13.163254373048172,40.11309929696498,52.0,11.26956984475375,3,2,1,70201.0
60.0,38.0,7.0,32.91276144689184,21.954986433398947,3,0,2,152770.0
29.85665482415952,0.9317649745766182,16.0,60.0,15.049371065982523,0,3,3,44702.0
42.0,15.777088923674022,32.0,67.0,15.0,2,0,1,101868.0
34.0,5.0,22.0,67.0,16.0,0,1,3,59258.0
59.0,32.0,22.0,60.73986026730842,15.0,0,2,0,121879.0
50.0,23.0,23.7375553412508,54.0,12.88978167703348,0,3,1,97353.0
21.0,0.0,20.0,33.0,21.0,2,2,1,61326.0
34.33628781478527,15.0,10.0,34.0,15.729220348056923,3,2,2,79725.0
49.0,23.0,29.0,53.0,16.0,0,2,4,113313.0
54.0,29.0,6.181746875442256,43.0,16.0,2,2,1,123733.0
45.0,20.0,30.94760434150573,43.0,18.0,1,1,4,99260.0
50.0,24.0,19.84331043293437,34.0,21.0,2,1,0,101655.0
22.0,0.0,5.0,57.0,21.0,3,0,3,33905.882120478884
38.0,15.0,21.675239515572404,25.0,12.0,1,0,1,84505.34880254969
35.0,6.0,34.0,41.0,18.0,0,2,3,69300.0
29.0,0.0,32.0,51.48146642257122,12.0,2,3,3,39586.0
45.0,22.0,30.0,54.0,12.0,3,0,2,102252.05638795812
47.0,15.0,16.0,67.0,15.0,0,1,3,101247.6220788236
48.05265147646932,15.0,34.0,38.0,14.476360335144486,2,3,3,102764.90019753393
31.086129169255425,2.0,42.0,52.0,15.0,2,3,2,67848.0
51.0,29.0,21.0,26.31520485519175,15.0,1,2,4,128469.0
36.0,15.0,39.0,52.0,15.0,0,0,3,75618.0
32.0,5.2238594879208256,41.0,64.07191627201908,22.3187232049957,0,2,1,77792.0
42.0,12.0,6.0,50.0,15.0,0,0,3,64800.0
45.0,16.06695278103241,34.0,69.0,16.0,2,1,2,98597.0
44.0,15.0,16.0,65.0,18.0,1,3,4,86394.0
30.0,4.0,34.0,28.0,17.811468328917485,2,0,4,72559.0
31.687465246793238,10.0,14.155805148532982,72.0,15.0,1,0,3,69624.0
49.47579124412444,30.0,7.0,76.0,18.0,0,0,0,129596.0
53.0,27.0,2.0,70.0,15.0,0,1,2,113824.0
34.0,12.0,35.0,46.0,21.0,0,1,3,87047.0
40.0,12.0,5.0,55.0,16.0,0,0,3,63436.0
29.0,6.0,43.0,45.0,18.0,2,3,2,75157.0
51.0,25.49179598122658,17.647497936190415,56.0,12.0,0,0,4,127091.44735041683
30.0,4.0,39.38542954884953,44.48654645766954,21.0,3,2,3,72357.2938912703
28.53286838989836,0.0,22.0,32.0,18.0,2,2,3,41502.0
57.0,15.0,41.0,52.0,18.0,0,0,2,123354.0
60.0,37.0,9.0,63.0,13.771622685960132,1,1,1,129115.0
50.0,27.0,7.0,34.0,12.0,1,0,3,109941.0
26.81051880298791,0.0,28.0,86.17493630404815,19.656575530539957,1,0,4,78037.10098334002
45.0,16.0,24.505464671186456,82.82908096887756,18.0,2,0,0,98626.25441868516
41.0,16.0,43.0,58.0,21.0,2,2,3,97955.0
42.0,16.0,38.860956744462854,46.797488874592204,13.293430311949017,0,1,0,95923.0
39.674558590126786,15.0,40.0,65.0,15.0,3,2,0,95114.0
43.0,13.0,33.0,29.0,21.0,1,1,0,78677.25374390633
33.0,10.0,9.0,35.0,18.0,0,2,3,60006.0
44.0,18.0,30.0,76.0,14.393029311972978,0,1,4,105995.0
55.04832472736256,25.0,22.0,52.0,21.0,3,1,3,132602.7478484872
30.0,7.0,0.9620389653104768,38.0,16.0,1,2,4,50750.0
59.0,27.662059505688195,5.0,49.0,12.0,0,1,4,103896.88656140154
38.838696624970346,22.172950489223744,11.0,31.33116315893439,18.0,0,0,4,108726.0
44.22511995632584,22.0,37.0,45.0,15.0,3,1,3,107899.0
57.0,30.0,4.0,61.0,12.0,1,0,1,126163.25038626089
27.0,0.0,23.0,46.0,21.0,0,0,1,55278.0
47.0,19.0,8.0,56.0,12.0,3,0,1,79033.0
47.209200344185945,20.672563434659782,19.0,66.0,21.0,0,3,0,100038.0
40.0,17.0,16.0,26.392240817483685,18.0,1,3,2,87930.98063809189
26.848772224964353,0.0,16.0,52.93372120338995,16.0,0,1,2,52589.987190448795
44.0,14.0,27.0,52.0,15.0,1,3,0,79609.0
25.0,2.0,34.0,70.0,15.943820101598197,2,3,3,57589.34831187689
36.0,15.0,2.0,40.0,15.0,2,3,1,66567.2123464216
46.0,22.0,23.0,64.0,21.0,1,0,3,99930.0
52.168781142897025,23.0,20.0,40.0,16.897686766499163,1,3,4,105252.22368788983
39.763407607520534,17.0,11.366058347726558,52.0,16.0,0,0,4,97070.0
56.0,31.0,35.0,60.0,14.443866463649524,1,0,2,125825.88759982184
41.0,15.0,27.0,57.365028448682,15.0,3,3,1,81588.0
33.59318749811898,6.0,20.0,27.0,15.0,3,1,4,65460.0
36.30013036384228,13.0,24.0,72.4576832845431,21.0,2,1,3,82506.0
35.0,7.620793081582325,9.0,60.0,12.0,0,0,1,70361.0
25.0,0.0,22.0,20.0,21.584981066787297,3,2,1,47380.0
26.0,1.7798330669482962,20.593004957978224,68.0,15.0,1,1,3,59830.0
22.0,0.0,9.626866795194053,77.40004941931257,12.31514300359779,0,3,3,48010.0
24.0,0.0,5.0,55.0,16.0,3,3,2,46732.0
39.0,9.0,41.0,63.0,19.51584573777277,1,0,2,93045.0
48.0,23.0,41.202901235877285,48.0,22.76748580851989,3,1,3,125097.0
55.0,30.0,38.0,58.0,18.0,3,0,4,143676.0
23.06474196323486,0.0,22.0,52.0,15.0,2,3,1,47505.0
49.0,23.0,2.0,24.0,12.0,1,1,0,87851.0
24.0,0.0,28.0,22.0,16.0,3,0,3,56850.14285151891
53.0,29.0,25.0,36.0,16.472329051723126,1,3,0,126784.0
24.0,0.0,27.0,49.0,16.807424210106905,1,0,4,55201.0
59.0,30.68594341046057,10.0,67.0,19.04669692372285,2,0,4,138760.0
54.0,30.0,6.0,45.0,23.0002091404981,3,3,1,112856.0
23.0,0.0,20.424812989717864,52.0,12.0,1,0,1,34808.0
35.0,8.0,20.0,41.0,21.0,1,0,4,72297.0
59.80513441961266,15.011007897818555,22.0,56.0,21.0,1,3,1,134541.78764409764
45.0,17.0,4.0,33.0,18.0,3,0,3,90777.0
31.0,2.0,14.0,45.0,15.0,0,2,1,52200.0
52.0,28.0,32.0,32.252448811739626,23.245117489233063,0,3,2,113955.01106235156
38.0,11.0,22.0,59.0,12.0,1,0,0,75086.0
57.0,32.0,18.0,26.0,16.0,2,1,3,122227.07018126817
36.0,13.0,2.0,39.18347463993135,18.0,0,0,1,56775.98976206727
37.0,15.0,43.0,23.0,16.0,0,1,3,63557.0
33.0,9.0,33.0,51.14575504954081,15.0,2,1,3,78927.0
48.0,19.0,35.0,64.0,15.0,3,0,1,114739.0
45.0,21.0,14.0,72.95164547785122,15.649290540931837,0,3,4,102735.0
54.0,27.0,15.0,24.734844269825835,16.0,3,2,0,118804.38106691938
29.0,7.0,2.0,67.0,18.0,2,2,2,56014.0
56.0,29.53515974152305,43.0,27.0,16.0,1,2,2,133795.0
28.0,0.0,32.0,23.0,19.969058199943326,0,2,3,56559.0
38.0,13.0,11.0,79.0,18.0,1,3,4,81152.0
36.0,6.0,6.0,67.0,16.0,0,1,1,66021.0
37.0,16.31527707966862,20.0,64.0,12.0,0,0,3,55222.0
51.42216013970567,20.0,4.0,50.611894544615815,18.0,3,3,3,89862.0
25.0,3.0,3.0,42.0,16.0,3,2,3,57420.0
32.0,3.0,25.0,59.0,16.0,3,0,0,70136.0
34.0,10.080168752369342,41.0,23.0,21.0,0,3,2,83744.27792083679
23.368346704031133,0.0,29.0,43.91755118361313,17.664694968793558,2,1,3,49751.0
40.0,11.0,24.0,52.0,12.0,1,1,3,71587.0
37.0,12.754751297906799,16.0,53.0,12.0,0,0,5,81294.0
52.0,22.0,6.0,59.0,21.0,3,2,3,94214.0
22.0,0.0,14.37357489303255,52.0,18.0,1,1,4,41085.0
45.25247598330099,13.0,37.0,38.0,16.0,0,2,3,98359.0
55.0,26.0,16.0,61.0,15.0,3,2,5,119124.0
29.0,6.0,5.0,72.0,12.0,3,0,1,60933.54581291076
52.877692048895064,29.0,11.0,59.0,17.756866677307727,0,0,3,116007.61230579624
46.0,16.0,22.0,45.0,16.0,3,2,3,94515.0
42.0,17.0,37.0,73.0,15.0,0,1,0,98232.0
31.0,7.0,22.0,44.0,21.0,3,1,4,54059.0
51.0,27.0,18.0,64.0,16.0,0,2,1,119330.0
29.0,7.0,11.0,65.0,12.0,2,1,3,60880.0
55.0,32.0,26.0,42.30866063430369,12.0,0,0,3,129383.51890008547
46.907708834255466,11.0,39.7498704016774,38.0,15.632037650525492,0,3,4,93645.51444623494
45.0,20.0,35.14512987717997,35.832336871658406,15.0,0,1,2,111395.0
37.0,8.0,28.0,27.0,15.0,3,0,3,67639.88012345828
57.0,15.0,17.241830357016795,60.0,18.0,3,2,4,125754.0
47.64337574583727,26.0,24.0,55.0,18.5261074391215,2,1,2,101011.03072163212
40.0,17.0,1.0,31.0,14.659572787101393,0,1,5,83427.0
51.0,29.0,27.0,42.0,22.026212932309637,0,0,4,134970.0
60.0,34.17568386688556,18.0,33.26318588975026,16.0,1,3,0,145735.0
24.0,15.0,2.0,79.74180872618233,15.0,2,0,3,41861.0
22.0,0.0,20.0,24.0,21.0,0,0,4,38847.0
48.967835790286024,20.80757967958249,34.0,52.0,15.673849385543573,0,3,3,115152.0
27.0,0.0,26.0,52.0,18.0,3,0,2,60970.0
30.491296046449275,4.241981660020848,21.0,42.739619403109465,16.0,3,2,1,60611.0
40.0,14.131017862106752,22.0,77.0,16.0,2,2,3,75179.0
32.0,7.0,4.0,67.0,15.0,3,1,4,59416.0
24.85545089507869,3.0,10.0,43.396051904226866,16.0,1,3,2,39079.0
46.0,16.0,3.963546754223013,45.0,12.0,3,0,2,79590.3297940587
41.0,18.0,38.0,26.0,21.0,3,3,1,99036.0
52.0,24.0,12.229583313248122,72.0,16.0,2,3,3,102891.0
43.0,13.0,1.0,29.0,18.0,2,1,0,80853.0
45.833599989030645,14.0,41.0,47.0,20.85617973979487,2,0,1,98972.0
50.0,22.0,25.0,52.0,15.0,0,0,0,93564.873699949
54.0,27.281625578722764,29.0,38.0,18.77855885488769,2,0,3,112048.0
55.0,26.0,22.0,44.10560866540654,21.0,3,1,1,122057.81606304091
46.0,24.0,20.63340504165888,70.04140068122703,18.0,2,1,3,124372.23428981737
30.0,7.0,7.0,52.0,15.10495731435002,3,0,3,49884.0
42.0,16.0,34.0,71.0,16.0,0,1,0,86360.0
48.0,23.0,32.0,37.0,13.725544489384134,2,0,0,113963.0
58.89468466016718,27.0,22.0,71.0,18.0,2,0,4,114917.46474480868
32.0,9.0,22.0,22.0,16.0,1,2,2,71512.0
32.0,15.0,2.0,74.0,19.502230516150977,0,3,2,46453.0
34.0,4.0,22.0,40.0,15.0,0,3,3,65577.0
41.0,15.0,43.0,58.49719953797446,15.0,1,1,4,91190.0
55.438605257386286,29.0,3.0,28.0,16.66862107370812,2,2,3,121859.0
60.0,33.0,20.0,33.34707716639717,11.777159337124456,2,1,3,128046.0
47.0,23.722760760577472,9.299152428711537,24.0,16.0,0,2,3,99861.0
42.45725657166207,9.0,9.0,52.0,12.573068061416528,2,2,0,75386.0
43.928857645943836,22.0,32.0,57.0,11.863641976096378,3,0,3,99491.0
49.830264759683566,25.0,31.0,44.0,14.666095477851393,0,1,1,125870.0
25.0,0.0,27.0,41.0,16.0,0,0,3,51822.97259262634
21.0,0.0,1.0,46.0,16.855293239753767,1,2,3,40973.0
38.0,15.0,7.0,72.0,21.0,2,0,1,70686.0
26.0,0.0,2.0,43.0,12.077383464595702,3,0,4,40033.46905957958
25.0,0.0,11.68359077500133,49.0,21.0,3,3,0,36955.0
38.380790079271364,13.0,22.336518038343506,45.7632612875465,15.0,2,0,2,86876.0
46.0,21.0,34.0,57.0,15.0,0,2,4,113924.0
45.212652430592215,23.0,6.0,21.565748581863943,15.0,3,3,2,107295.76078560473
50.0,23.50583637761792,2.0,52.0,16.0,2,0,3,108501.0
55.0,25.0,36.064065237336116,27.0,12.0,3,0,2,117829.81387669223
37.69528363700372,11.534409864708746,43.0,25.0,21.0,3,2,3,86631.73188706189
35.74682931637666,9.208271341778858,30.0,23.0,15.0,0,1,0,61794.0
50.0,25.99767097824439,7.0,82.02412421455301,21.0,1,1,0,119942.0
32.0,15.0,40.0,59.0,12.0,0,0,4,63540.132969752674
28.0,0.0,11.607280445354348,38.0,21.0,2,3,2,48285.15947844237
40.0,10.0,37.40371394799694,68.0,13.331513020712483,0,3,3,65945.53623795949
34.0,8.0,35.0,27.51046044918091,18.328983381694542,3,3,4,84211.0
56.0,32.0,37.0,52.0,12.0,0,2,3,144383.0
37.0,12.0,24.0,24.544468908837313,18.0,0,3,3,85245.73142635352
57.18787861639005,21.0,25.840042072421845,27.0,12.0,3,0,4,107577.0
